Brand,avg_price
Galvan-Ortega,999.0
Day-Noble,999.0
Leonard LLC,999.0
Ford-Mayer,998.0
"Wilkerson, Christensen and Baxter",996.0
Stanley and Sons,994.0
"Mckay, Cooke and Heath",994.0
Beard Group,994.0
Bray-Cowan,993.0
Avila Inc,993.0
Hayes LLC,991.0
"Dyer, Mcdowell and Holmes",991.0
Webster-Delacruz,991.0
Melendez-Small,990.0
Simon-Werner,990.0
"Swanson, Fuentes and Frederick",990.0
Santana Inc,990.0
"Nash, Newton and Hodge",989.0
"Berg, Dillon and Mueller",988.0
Brady-Farrell,984.0
Rowland LLC,980.0
Dudley-Johnson,980.0
Mooney-Olsen,979.0
"Hale, Grimes and Calhoun",979.0
"Goodwin, Daugherty and Hull",979.0
"Leblanc, Manning and Stout",978.0
Lopez and Sons,978.0
"Faulkner, Cervantes and Morales",976.0
Burns-Chavez,976.0
Terrell-Huerta,975.0
"Huber, Clark and Griffith",974.0
Calderon PLC,971.0
Potter LLC,971.0
Neal-Harding,970.0
"Olson, Macdonald and Kemp",969.0
"Hayden, Woodward and Barton",969.0
Nolan Inc,968.0
Williamson PLC,965.0
Gomez PLC,964.0
Glass PLC,964.0
Murray Group,961.0
"Guzman, Ayers and Trujillo",960.0
Campos-Chan,959.0
Gilbert-Rangel,959.0
Clements Inc,958.0
Hobbs-Sanders,957.0
"Huffman, Hobbs and Flowers",957.0
Donaldson and Sons,957.0
Tanner PLC,955.0
"Haas, Bowman and Bass",952.0
Atkinson Inc,952.0
Christensen and Sons,951.5
Vance PLC,951.0
Underwood-Cox,948.0
"Logan, Vega and Haynes",947.0
"Holloway, Cohen and Houston",946.0
"Reed, Sheppard and Irwin",944.0
Gill-Ochoa,944.0
Moreno PLC,944.0
"Singh, Morgan and Houston",943.0
Chase-Pugh,943.0
Guzman Inc,942.0
"Macias, Griffith and Cooper",940.0
Lozano Inc,939.0
Pace and Sons,938.0
Griffith-Hebert,935.0
"Pearson, Hubbard and Woodward",935.0
Dixon-Santana,934.0
Kirby and Sons,934.0
"Reynolds, Martinez and Bradley",934.0
Duran-Cole,933.0
Beasley PLC,932.0
Kramer PLC,931.0
Griffin and Sons,931.0
Owens and Sons,931.0
Haney Ltd,930.0
Mcdonald-Fernandez,930.0
Fletcher PLC,929.0
Downs-Wood,928.0
"Holmes, Gibbs and Shields",928.0
Herring Ltd,927.0
"Hayes, Peck and Bridges",926.0
Mcfarland-Buck,926.0
Rose-Escobar,925.0
Mcconnell PLC,922.0
"Banks, Werner and Barron",921.0
Stephens-Keller,919.0
"Malone, Bowman and Holland",919.0
Morse-Combs,918.0
Le-Fuller,917.0
"Lucero, Swanson and Murray",916.0
Bowen Inc,916.0
Booth-Gamble,915.0
Finley Ltd,915.0
Manning-Daniels,914.0
"Montoya, Barnes and Haley",914.0
Kaufman-Nash,913.0
"Hensley, Hawkins and Gregory",910.0
"Travis, Strong and Mack",909.0
"Owens, Preston and Garza",909.0
Nunez-Dyer,908.0
Mcdaniel and Sons,908.0
Shea-Wang,908.0
Waters Inc,908.0
Lester-Mendez,907.0
"Terry, Murray and Morse",907.0
Hunter Inc,906.0
Huffman Group,903.0
Thomas Inc,902.0
"Munoz, Jensen and Combs",901.0
"Bolton, Sandoval and Decker",899.0
Andrews-Mcgee,898.0
"Fisher, Chan and Ashley",897.0
Harmon-Foster,897.0
Fry LLC,897.0
Rowe-Perkins,896.0
Matthews-Winters,896.0
"Ruiz, Roach and Becker",896.0
"Hurst, Callahan and Roberson",893.0
"Sharp, Chase and Perkins",893.0
Price-Joyce,893.0
Cochran-Burton,892.0
Frederick Ltd,892.0
Bridges Ltd,891.0
Jackson Ltd,890.0
Valdez-Vincent,890.0
Aguilar PLC,889.0
"Rhodes, Flynn and Townsend",887.0
Merritt-Maddox,887.0
Knox-Santana,887.0
Todd Group,884.0
Wang Group,884.0
